item,price,store,image
Lenovo Ideapad 700 (i7/16/1TB/NVIDIA/W10) Notebook PC,"15,200 L.E",Brothers for Import,http://www.egprices.com/images/thumb/lenovo_ideapad_700.jpg
Lenovo Ideapad 700 (i7/16/1TB/NVidia) Notebook PC,"14,599 L.E",Brothers for Import,http://www.egprices.com/images/thumb/lenovo_ideapad_700.jpg
Dell Inspiron 15-7567 (i7/8/1TB/NVIDIA) Notebook PC,"17,900 L.E",Brothers for Import,http://www.egprices.com/images/thumb/15_7567.jpg
HP 15-BS038NE Notebook PC,"11,999 L.E",Brothers for Import,http://www.egprices.com/images/thumb/15-bs035ne.jpg
Lenovo Ideapad 320 (i5/4/1TB/NVIDIA) Notebook PC,"8,499 L.E",CompuScience,http://www.egprices.com/images/thumb/lenovo_ideapad_320_i5.jpg
Lenovo Ideapad V310 (i5/8/500/Radeon R5 M430) Notebook PC,"9,599 L.E",CompuScience,http://www.egprices.com/images/thumb/lenovo-ideapad-v310.jpg
Dell Inspiron 15-7567 (i7/8/1TB+128SSD/NVIDIA) Notebook PC,"23,999 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/15_7567.jpg
Dell Inspiron 15R 3567 (i5/4/1TB/R5 M340) Notebook PC,"8,650 L.E",CompuScience,http://www.egprices.com/images/thumb/dell_inspiron_15r_3558_notebook_pc.jpg
Dell Inspiron 15R 5567 (i7/16/2TB/R7 M440) Notebook PC,"14,099 L.E",CompuScience,http://www.egprices.com/images/thumb/dell_inspiron_15r_5558_notbook.jpg
Lenovo Ideapad 320 (AMD/4/1TB) Notebook PC,"4,299 L.E",CompuScience,http://www.egprices.com/images/thumb/lenovo-ideapad-320.jpg
Lenovo Ideapad 320 (i3/4/1TB) Notebook PC,"6,199 L.E",CompuScience,http://www.egprices.com/images/thumb/lenovo-ideapad-320.jpg
Lenovo Ideapad 110 (i5/8/1TB/R5 M430) Notebook PC,"8,899 L.E",CompuScience,http://www.egprices.com/images/thumb/lenovo_ideapad_110_e1-7010__netbook_pc.jpg
Dell Inspiron 15-7567 (i7/8/1TB/NVIDIA) Notebook PC,"18,499 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/15_7567.jpg
Lenovo Ideapad 700 (i7/16/1TB/NVIDIA/W10) Notebook PC,"15,999 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/lenovo_ideapad_700.jpg
Lenovo Ideapad 520 (i7/16/2TB/NVIDIA) Notebook PC,"15,999 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/lenovo-ideapad-520.jpg
Lenovo Ideapad 520 (i7/8/1TB/NVIDIA) Notebook PC,"13,999 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/lenovo-ideapad-520.jpg
HP 15-BS038NE Notebook PC,"12,199 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/15-bs035ne.jpg
Lenovo ThinkPad E570 (i5/4/500) Notebook PC,"12,499 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/lenovo-thinkpad-e570.jpg
Lenovo Ideapad Y700 (i7/16/1TB/NVidia) Notebook PC,"15,199 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/lenovo_y700.jpg
Dell Inspiron 15R 5567 (i7/8/1TB/R7 M445) Notebook PC,"12,199 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/dell_inspiron_15r_5558_notbook.jpg
Lenovo Legion Y520 (i7/16/1TB+128G SSD/NVIDIA/W10) Notebook PC,"20,999 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/lenovo-legion-y520.jpg
Lenovo Ideapad 510 (i7/8/1TB/NVIDIA) Notebook PC,"13,299 L.E",Egypt Laptop,http://www.egprices.com/images/thumb/lenovo_ideapad_510_notebook_pc.jpg
Lenovo Ideapad 520 (i7/16/2TB/NVIDIA MX150 4GB) Notebook PC,"16,600 L.E",Collection,http://www.egprices.com/images/thumb/lenovo-ideapad-520.jpg
Lenovo Ideapad 700 (i7/16/1TB/NVIDIA/W10) Notebook PC,"15,200 L.E",Collection,http://www.egprices.com/images/thumb/lenovo_ideapad_700.jpg
Lenovo Ideapad 700 (i7/16/1TB/NVidia) Notebook PC,"14,600 L.E",Collection,http://www.egprices.com/images/thumb/lenovo_ideapad_700.jpg
Lenovo Legion Y520 (i7/16/1TB+256G SSD/NVIDIA/W10) Notebook PC,"25,200 L.E",Collection,http://www.egprices.com/images/thumb/lenovo-legion-y520.jpg
HP 15-BS033NE Notebook PC,"6,750 L.E",Collection,http://www.egprices.com/images/thumb/hp_15-bs033ne_notebook_pc.jpg
Lenovo Ideapad 520 (i5/16/2TB/NVIDIA) Notebook PC,"13,300 L.E",Collection,http://www.egprices.com/images/thumb/lenovo_ideapad_520_i5.jpg
Lenovo Ideapad 110 (i3/4/1TB) Notebook PC,"6,150 L.E",Collection,http://www.egprices.com/images/thumb/lenovo_ideapad_110_e1-7010__netbook_pc.jpg
HP ProBook 450 G4 (i7/8/1TB/NVIDIAI) Notebook PC,"13,300 L.E",Collection,http://www.egprices.com/images/thumb/hp_probook_450_g4.jpg
Lenovo Legion Y520 (i7/16/1TB+256G SSD/NVIDIA/W10) Notebook PC,"25,000 L.E",Delta Computer Alex,http://www.egprices.com/images/thumb/lenovo-legion-y520.jpg
Lenovo Ideapad 520 (i7/16/2TB/NVIDIA MX150 4GB) Notebook PC,"16,399 L.E",Brothers for Import,http://www.egprices.com/images/thumb/lenovo-ideapad-520.jpg
Lenovo Ideapad 110 (i5/8/1TB/R5 M430) Notebook PC,"8,750 L.E",Delta Computer Alex,http://www.egprices.com/images/thumb/lenovo_ideapad_110_e1-7010__netbook_pc.jpg
HP ProBook 450 G4 (i5/8/1TB/NVIDIAI) Notebook PC,"11,150 L.E",Delta Computer Alex,http://www.egprices.com/images/thumb/hp_probook_450_g4.jpg
HP ProBook 450 G4 (i7/8/1TB/NVIDIAI) Notebook PC,"13,150 L.E",Delta Computer Alex,http://www.egprices.com/images/thumb/hp_probook_450_g4.jpg
HP 15-BS036NE Notebook PC (2CT87EA),"9,999 L.E",Carrefour,http://www.egprices.com/images/thumb/hp-15-bs036ne.jpg
Lenovo Ideapad 110 (i5/8/1TB/R5 M430) Notebook PC,"8,999 L.E",Carrefour,http://www.egprices.com/images/thumb/lenovo_ideapad_110_e1-7010__netbook_pc.jpg
